Model,Dataset,Accuracy,Precision,Recall,F1 Score,MCC,AUC
Logistic Regression,Training,0.8072,0.6899,0.2334,0.3488,0.3211,0.7446
Logistic Regression,Test,0.8065,0.6789,0.2374,0.3518,0.3193,0.7247
Decision Tree Classifier,Training,0.2247,0.1732,0.6638,0.2747,-0.2729,0.3819
Decision Tree Classifier,Test,0.2340,0.1781,0.6812,0.2823,-0.2436,0.3941
K-Nearest Neighbor Classifier,Training,0.8440,0.7241,0.4765,0.5748,0.5001,0.8819
K-Nearest Neighbor Classifier,Test,0.7888,0.5345,0.3504,0.4233,0.3109,0.7060
Naive Bayes Classifier (Gaussian),Training,0.4227,0.2610,0.8793,0.4026,0.1641,0.7385
Naive Bayes Classifier (Gaussian),Test,0.4227,0.2614,0.8824,0.4034,0.1665,0.7247
Ensemble Model - Random Forest,Training,0.6708,0.2464,0.2371,0.2417,0.0315,0.5697
Ensemble Model - Random Forest,Test,0.6712,0.2492,0.2419,0.2455,0.0353,0.5569
Ensemble Model - XGBoost,Training,0.6748,0.3232,0.4296,0.3689,0.1586,0.6117
Ensemble Model - XGBoost,Test,0.6647,0.3003,0.3881,0.3386,0.1206,0.5872
